TIME_PERIOD,gdp,inflation,unemployment,industrial_production,gdp_future,target
2002-04-01,32418.69577034467,107.49593406593407,478.72592592592594,354.99875504710496,-319.2844779308325,1
2002-07-01,32099.41129241384,105.72208791208791,495.61296296296297,481.01665545087667,1506.6795703448515,0
2002-10-01,33606.09086275869,106.1749010989011,499.95,573.0879542395675,-615.0704710347054,1
2003-01-01,32991.020391723985,105.25092307692307,516.1222222222223,364.55302787568303,826.1558013794929,0
2003-04-01,33817.17619310348,105.79896703296703,506.0388888888889,349.20615187439904,-231.5156393103971,1
2003-07-01,33585.66055379308,104.03773626373626,510.1222222222222,475.59410445369747,1488.5707862069758,0
2003-10-01,35074.23134000006,104.31547252747252,511.9962962962963,532.221884011531,-271.90362206910504,1
2004-01-01,34802.32771793095,103.54182417582417,515.9111111111112,406.77875680871415,926.1434124138177,0
2004-04-01,35728.47113034477,104.64879120879121,512.6518518518518,286.33960269144376,-273.06767241373745,1
2004-07-01,35455.40345793103,104.12446153846153,500.81851851851854,455.43918615828136,1490.491377931059,0
2004-10-01,36945.89483586209,104.5863956043956,496.19444444444446,445.63386735021106,-331.7725965517093,1
2005-01-01,36614.12223931038,103.88371428571429,477.3111111111111,312.2498878564556,1271.5294862068913,0
2005-04-01,37885.65172551727,105.33593406593407,460.77777777777777,224.35953220121834,-459.9140786206772,1
2005-07-01,37425.737646896596,105.31953846153846,414.69074074074075,318.46702979813995,1505.475653792957,0
2005-10-01,38931.21330068955,106.30718681318682,412.2240740740741,300.6253123998712,37.78502620699146,0
2006-01-01,38968.998326896544,106.629010989011,429.89259259259256,246.69032361422714,1038.5522868964763,0
2006-04-01,40007.55061379302,108.19437362637363,422.9611111111111,188.85165011214397,-411.683064137811,1
2006-07-01,39595.86754965521,108.09237362637363,404.1537037037037,303.2994232617747,1875.6485910345873,0
2006-10-01,41471.5161406898,108.02795604395604,407.0148148148148,305.3309836590826,-136.63248068972462,1
2007-01-01,41334.88366000007,107.85831485587583,416.57037037037037,228.2161166292863,936.3571041379328,0
2007-04-01,42271.240764138005,109.42849223946786,404.11296296296297,192.6164049983977,-413.43301724160847,1
2007-07-01,41857.8077468964,109.32323725055431,404.7,257.63777635373185,1683.0821186208268,0
2007-10-01,43540.88986551722,110.27317073170732,426.47222222222223,280.23928228131984,-847.4158606895871,1
2008-01-01,42693.474004827636,111.00246119733924,472.4185185185185,202.29195770586324,443.94352551700285,0
2008-04-01,43137.41753034464,112.93487804878049,520.0962962962963,174.16334508170462,-1167.1473248272596,1
2008-07-01,41970.27020551738,114.27441241685145,570.3222222222222,238.0610381288054,229.35381310328376,0
2008-10-01,42199.62401862066,114.1010421286031,670.8925925925926,214.62355014418392,-2716.5278193102495,1
2009-01-01,39483.096199310414,112.19634146341463,836.8629629629629,148.4430310797824,523.7143944827767,0
2009-04-01,40006.81059379319,113.05822616407983,935.3166666666667,5279.48420378086,-124.59969241390354,1
2009-07-01,39882.21090137929,112.74487804878049,926.5703703703704,134.81983338673479,1174.188634482809,0
2009-10-01,41056.399535862096,113.22882483370289,969.5203703703704,694.4181031720597,-1195.574994482682,1
2010-01-01,39860.824541379414,112.86019955654102,1006.174074074074,112.66126241589242,898.6937593101829,0
2010-04-01,40759.5183006896,114.95246119733925,1048.3685185185184,106.935853892983,-593.4918965517718,1
2010-07-01,40166.026404137825,114.74618625277161,1038.2074074074073,122.69170137776335,1272.2089137932853,0
2010-10-01,41438.23531793111,115.74904656319292,1058.2425925925927,144.65616789490574,-1093.844726896561,1
2011-01-01,40344.39059103455,116.05505543237251,1078.6592592592592,107.20896916848338,257.2340186206129,0
2011-04-01,40601.62460965516,118.92549889135256,1090.7333333333333,102.51946600434646,-665.5315806897634,1
2011-07-01,39936.0930289654,118.13784922394679,1117.137037037037,117.57680844458262,555.9072351725699,0
2011-10-01,40492.00026413797,119.22062084257205,1181.9444444444443,126.63064265755936,-1244.771937931051,1
2012-01-01,39247.22832620692,118.56388026607539,1233.437037037037,92.83896626431435,35.372448276000796,0
2012-04-01,39282.60077448292,121.2990022172949,1285.5018518518518,83.52383163107403,-647.6002179310308,1
2012-07-01,38635.00055655189,120.96716186252772,1311.3092592592593,110.80037140204276,390.47839724113874,0
2012-10-01,39025.47895379303,123.75328159645234,1351.8055555555557,123.44593005261522,-1137.429476551726,1
2013-01-01,37888.0494772413,122.32053215077606,1384.9925925925927,87.50504487774695,733.7439372415465,0
2013-04-01,38621.79341448285,123.81082039911308,1380.4314814814813,88.88597957288755,-327.4654131036368,1
2013-07-01,38294.32800137921,123.48113082039912,1352.6277777777777,84.79545032497676,921.1650317242238,0
2013-10-01,39215.493033103434,124.01569844789357,1354.6333333333334,101.1744351593933,-674.9644206896337,1
2014-01-01,38540.5286124138,122.44838137472284,1323.9074074074074,83.4818322500774,822.8504186206192,0
2014-04-01,39363.37903103442,124.18133037694012,1290.3148148148148,87.51364902506957,-28.518535172268457,1
2014-07-01,39334.86049586215,122.94993348115298,1242.1796296296295,87.43150727329002,977.6129406895998,0
2014-10-01,40312.47343655175,123.51729490022174,1238.0611111111111,84.65923862581242,-368.9480344828189,1
2015-01-01,39943.52540206893,121.09037694013304,1216.1851851851852,77.29727638502008,1023.7491703449195,0
2015-04-01,40967.27457241385,123.36219512195123,1180.237037037037,79.64825131538223,78.87774275861739,0
2015-07-01,41046.15231517247,122.97866962305987,1117.9518518518519,88.9311358712473,941.4870227586289,0
2015-10-01,41987.6393379311,122.87492239467849,1094.1351851851853,111.8580315691735,-775.0853337930967,1
2016-01-01,41212.554004138,113.87839879154077,1066.0351851851851,80.35570944906127,1042.7876641379771,0
2016-04-01,42255.34166827598,115.19797583081571,1050.012962962963,96.4956949569496,-211.95591310360032,1
2016-07-01,42043.38575517238,115.18663141993957,995.338888888889,85.39074415744157,1019.9674089656619,0
2016-10-01,43063.35316413804,115.86984894259818,966.4629629629629,98.60227552275528,-331.25882137932786,1
2017-01-01,42732.09434275871,115.50196721311474,946.3296296296296,80.54506912442396,993.1941565515735,0
2017-04-01,43725.288499310285,116.99241430700448,907.6574074074074,81.81720430107526,-17.18689999983326,1
2017-07-01,43708.10159931045,116.19907600596125,852.8481481481482,87.1468202764977,1129.8971606895939,0
2017-10-01,44837.998760000046,116.95459016393441,854.5296296296297,132.89047619047605,-636.8146972415489,1
2018-01-01,44201.1840627585,116.1203129657228,846.6222222222223,77.54664401019541,1125.131379999977,0
2018-04-01,45326.315442758474,117.82132637853951,809.1703703703704,97.26648258283775,-349.7573862068166,1
2018-07-01,44976.55805655166,117.89904619970194,760.5888888888888,84.10246389124893,1016.5069744829088,0
2018-10-01,45993.065031034566,119.0662742175857,754.6351851851852,137.53954970263416,-580.1313820691648,1
2019-01-01,45412.9336489654,117.08441307578009,741.4722222222223,78.91694987255735,760.0058544827116,0
2019-04-01,46172.93950344811,119.18586924219912,737.8759259259259,80.4231096006797,-30.443381379256607,1
2019-07-01,46142.49612206886,118.4301485884101,729.0351851851851,83.73271028037384,771.9772441379682,0
2019-10-01,46914.473366206825,119.2497176820208,726.2314814814815,83.24936278674596,-3236.6119910342823,1
2020-01-01,43677.86137517254,118.00429420505199,731.8814814814815,73.57259983007646,-7797.502383448293,1
2020-04-01,35880.35899172425,119.0987221396731,761.224074074074,52.67272727272731,5958.834589654944,0
2020-07-01,41839.19358137919,118.21022288261516,817.5814814814814,75.83496176720476,1325.4850337932148,0
2020-10-01,43164.67861517241,118.78830609212481,845.9462962962963,78.41822429906543,-608.3249855171962,1
2021-01-01,42556.35362965521,118.56915304606241,828.5462962962963,72.68440951571792,1735.3712365515676,0
2021-04-01,44291.72486620678,120.65997028231799,818.65,88.86843670348341,686.4683034485424,0
2021-07-01,44978.19316965532,120.7895690936107,799.7407407407408,82.01478334749363,2024.7266262066696,0
2021-10-01,47002.91979586199,123.16419019316493,733.6944444444445,80.65072217502124,-153.97594344813842,1
2022-01-01,46848.94385241385,124.7514082278481,705.5666666666667,76.20964316057774,1827.31219034471,0
2022-04-01,48676.25604275856,130.3208069620253,698.3851851851852,81.70123299319728,39.585653793110396,0
2022-07-01,48715.84169655167,132.91017405063292,672.4055555555556,82.47455395072217,837.810083448152,0
2022-10-01,49553.651779999826,132.65189873417722,695.7222222222222,116.60386576040794,37.8230441380656,0
2023-01-01,49591.47482413789,132.1604746835443,711.1888888888889,74.50611724723875,919.1654524138721,0
2023-04-01,50510.64027655176,135.42647151898734,653.8888888888889,75.36723331916703,-205.19047034484538,1
2023-07-01,50305.44980620692,135.79197784810125,646.2796296296297,79.03496176720473,1409.8852862068088,0
2023-10-01,51715.33509241373,137.5518670886076,654.5648148148148,91.933007646559,-268.4000993102527,1
2024-01-01,51446.934993103474,136.66837025316457,655.9814814814815,58.76103190767142,1416.9913944827858,0
2024-04-01,52863.92638758626,139.73466772151897,637.3944444444444,60.54131614654002,-2.1530986206562375,1
2024-07-01,52861.7732889656,139.64825949367088,625.6166666666667,64.58100748808712,1461.7041537929108,0
2024-10-01,54323.477442758514,140.2099683544304,596.6518518518519,65.86671204901293,-539.1889186207482,1
2025-01-01,53784.288524137766,140.33147151898734,607.0851851851852,58.95673469387754,1393.1285324138516,0
2025-04-01,55177.41705655162,142.88286392405064,592.4444444444445,61.56802721088433,52.905728965371964,0
2025-07-01,55230.32278551699,143.40683544303798,587.2981481481481,65.13965986394557,1661.1042200001611,0
